SciName,Family,Order
Accipiter albogularis,Accipitridae,Accipitriformes
Accipiter badius,Accipitridae,Accipitriformes
Accipiter bicolor,Accipitridae,Accipitriformes
Accipiter brachyurus,Accipitridae,Accipitriformes
Accipiter brevipes,Accipitridae,Accipitriformes
Accipiter butleri,Accipitridae,Accipitriformes
Accipiter castanilius,Accipitridae,Accipitriformes
Accipiter chilensis,Accipitridae,Accipitriformes
Accipiter chionogaster,Accipitridae,Accipitriformes
Accipiter cirrocephalus,Accipitridae,Accipitriformes
Accipiter collaris,Accipitridae,Accipitriformes
Accipiter cooperii,Accipitridae,Accipitriformes
Accipiter erythrauchen,Accipitridae,Accipitriformes
Accipiter erythronemius,Accipitridae,Accipitriformes
Accipiter erythropus,Accipitridae,Accipitriformes
Accipiter fasciatus,Accipitridae,Accipitriformes
Accipiter francesiae,Accipitridae,Accipitriformes
Accipiter gentilis,Accipitridae,Accipitriformes
Accipiter griseiceps,Accipitridae,Accipitriformes
Accipiter gularis,Accipitridae,Accipitriformes
Accipiter gundlachi,Accipitridae,Accipitriformes
Accipiter haplochrous,Accipitridae,Accipitriformes
Accipiter henicogrammus,Accipitridae,Accipitriformes
Accipiter henstii,Accipitridae,Accipitriformes
Accipiter imitator,Accipitridae,Accipitriformes
Accipiter luteoschistaceus,Accipitridae,Accipitriformes
Accipiter madagascariensis,Accipitridae,Accipitriformes
Accipiter melanochlamys,Accipitridae,Accipitriformes
Accipiter melanoleucus,Accipitridae,Accipitriformes
Accipiter meyerianus,Accipitridae,Accipitriformes
Accipiter minullus,Accipitridae,Accipitriformes
Accipiter nanus,Accipitridae,Accipitriformes
Accipiter nisus,Accipitridae,Accipitriformes
Accipiter novaehollandiae,Accipitridae,Accipitriformes
Accipiter ovampensis,Accipitridae,Accipitriformes
Accipiter poliocephalus,Accipitridae,Accipitriformes
Accipiter poliogaster,Accipitridae,Accipitriformes
Accipiter princeps,Accipitridae,Accipitriformes
Accipiter rhodogaster,Accipitridae,Accipitriformes
Accipiter rufitorques,Accipitridae,Accipitriformes
Accipiter rufiventris,Accipitridae,Accipitriformes
Accipiter soloensis,Accipitridae,Accipitriformes
Accipiter striatus,Accipitridae,Accipitriformes
Accipiter superciliosus,Accipitridae,Accipitriformes
Accipiter tachiro,Accipitridae,Accipitriformes
Accipiter toussenelii,Accipitridae,Accipitriformes
Accipiter trinotatus,Accipitridae,Accipitriformes
Accipiter trivirgatus,Accipitridae,Accipitriformes
Accipiter ventralis,Accipitridae,Accipitriformes
Accipiter virgatus,Accipitridae,Accipitriformes
Aegypius monachus,Accipitridae,Accipitriformes
Aquila adalberti,Accipitridae,Accipitriformes
Aquila africanus,Accipitridae,Accipitriformes
Aquila audax,Accipitridae,Accipitriformes
Aquila chrysaetos,Accipitridae,Accipitriformes
Aquila clanga,Accipitridae,Accipitriformes
Aquila fasciatus,Accipitridae,Accipitriformes
Aquila gurneyi,Accipitridae,Accipitriformes
Aquila hastata,Accipitridae,Accipitriformes
Aquila heliaca,Accipitridae,Accipitriformes
Aquila nipalensis,Accipitridae,Accipitriformes
Aquila pomarina,Accipitridae,Accipitriformes
Aquila rapax,Accipitridae,Accipitriformes
Aquila verreauxii,Accipitridae,Accipitriformes
Aquila wahlbergi,Accipitridae,Accipitriformes
Aviceda cuculoides,Accipitridae,Accipitriformes
Aviceda jerdoni,Accipitridae,Accipitriformes
Aviceda leuphotes,Accipitridae,Accipitriformes
Aviceda madagascariensis,Accipitridae,Accipitriformes
Aviceda subcristata,Accipitridae,Accipitriformes
Busarellus nigricollis,Accipitridae,Accipitriformes
Butastur indicus,Accipitridae,Accipitriformes
Butastur liventer,Accipitridae,Accipitriformes
Butastur rufipennis,Accipitridae,Accipitriformes
Butastur teesa,Accipitridae,Accipitriformes
Buteo albicaudatus,Accipitridae,Accipitriformes
Buteo albigula,Accipitridae,Accipitriformes
Buteo albonotatus,Accipitridae,Accipitriformes
Buteo archeri,Accipitridae,Accipitriformes
Buteo augur,Accipitridae,Accipitriformes
Buteo auguralis,Accipitridae,Accipitriformes
Buteo brachypterus,Accipitridae,Accipitriformes
Buteo brachyurus,Accipitridae,Accipitriformes
Buteo buteo,Accipitridae,Accipitriformes
Buteo galapagoensis,Accipitridae,Accipitriformes
Buteo hemilasius,Accipitridae,Accipitriformes
Buteo jamaicensis,Accipitridae,Accipitriformes
Buteo lagopus,Accipitridae,Accipitriformes
Buteo leucorrhous,Accipitridae,Accipitriformes
Buteo lineatus,Accipitridae,Accipitriformes
Buteo magnirostris,Accipitridae,Accipitriformes
Buteo nitidus,Accipitridae,Accipitriformes
Buteo oreophilus,Accipitridae,Accipitriformes
Buteo platypterus,Accipitridae,Accipitriformes
Buteo polyosoma,Accipitridae,Accipitriformes
Buteo regalis,Accipitridae,Accipitriformes
Buteo ridgwayi,Accipitridae,Accipitriformes
Buteo rufinus,Accipitridae,Accipitriformes
Buteo rufofuscus,Accipitridae,Accipitriformes
Buteo solitarius,Accipitridae,Accipitriformes
Buteo swainsoni,Accipitridae,Accipitriformes
Buteo ventralis,Accipitridae,Accipitriformes
Buteogallus aequinoctialis,Accipitridae,Accipitriformes
Buteogallus anthracinus,Accipitridae,Accipitriformes
Buteogallus gundlachii,Accipitridae,Accipitriformes
Buteogallus meridionalis,Accipitridae,Accipitriformes
Buteogallus urubitinga,Accipitridae,Accipitriformes
Chelictinia riocourii,Accipitridae,Accipitriformes
Chondrohierax uncinatus,Accipitridae,Accipitriformes
Chondrohierax wilsonii,Accipitridae,Accipitriformes
Circaetus beaudouini,Accipitridae,Accipitriformes
Circaetus cinerascens,Accipitridae,Accipitriformes
Circaetus cinereus,Accipitridae,Accipitriformes
Circaetus fasciolatus,Accipitridae,Accipitriformes
Circaetus gallicus,Accipitridae,Accipitriformes
Circaetus pectoralis,Accipitridae,Accipitriformes
Circus aeruginosus,Accipitridae,Accipitriformes
Circus approximans,Accipitridae,Accipitriformes
Circus assimilis,Accipitridae,Accipitriformes
Circus buffoni,Accipitridae,Accipitriformes
Circus cinereus,Accipitridae,Accipitriformes
Circus cyaneus,Accipitridae,Accipitriformes
Circus macrosceles,Accipitridae,Accipitriformes
Circus macrourus,Accipitridae,Accipitriformes
Circus maillardi,Accipitridae,Accipitriformes
Circus maurus,Accipitridae,Accipitriformes
Circus melanoleucos,Accipitridae,Accipitriformes
Circus pygargus,Accipitridae,Accipitriformes
Circus ranivorus,Accipitridae,Accipitriformes
Circus spilonotus,Accipitridae,Accipitriformes
Dryotriorchis spectabilis,Accipitridae,Accipitriformes
Elanoides forficatus,Accipitridae,Accipitriformes
Elanus axillaris,Accipitridae,Accipitriformes
Elanus caeruleus,Accipitridae,Accipitriformes
Elanus leucurus,Accipitridae,Accipitriformes
Elanus scriptus,Accipitridae,Accipitriformes
Erythrotriorchis buergersi,Accipitridae,Accipitriformes
Erythrotriorchis radiatus,Accipitridae,Accipitriformes
Eutriorchis astur,Accipitridae,Accipitriformes
Gampsonyx swainsonii,Accipitridae,Accipitriformes
Geranoaetus melanoleucus,Accipitridae,Accipitriformes
Geranospiza caerulescens,Accipitridae,Accipitriformes
Gypaetus barbatus,Accipitridae,Accipitriformes
Gypohierax angolensis,Accipitridae,Accipitriformes
Gyps africanus,Accipitridae,Accipitriformes
Gyps bengalensis,Accipitridae,Accipitriformes
Gyps coprotheres,Accipitridae,Accipitriformes
Gyps fulvus,Accipitridae,Accipitriformes
Gyps himalayensis,Accipitridae,Accipitriformes
Gyps indicus,Accipitridae,Accipitriformes
Gyps rueppellii,Accipitridae,Accipitriformes
Gyps tenuirostris,Accipitridae,Accipitriformes
Haliaeetus albicilla,Accipitridae,Accipitriformes
Haliaeetus leucocephalus,Accipitridae,Accipitriformes
Haliaeetus leucogaster,Accipitridae,Accipitriformes
Haliaeetus leucoryphus,Accipitridae,Accipitriformes
Haliaeetus pelagicus,Accipitridae,Accipitriformes
Haliaeetus sanfordi,Accipitridae,Accipitriformes
Haliaeetus vocifer,Accipitridae,Accipitriformes
Haliaeetus vociferoides,Accipitridae,Accipitriformes
Haliastur indus,Accipitridae,Accipitriformes
Haliastur sphenurus,Accipitridae,Accipitriformes
Hamirostra melanosternon,Accipitridae,Accipitriformes
Harpagus bidentatus,Accipitridae,Accipitriformes
Harpagus diodon,Accipitridae,Accipitriformes
Harpia harpyja,Accipitridae,Accipitriformes
Harpyhaliaetus coronatus,Accipitridae,Accipitriformes
Harpyhaliaetus solitarius,Accipitridae,Accipitriformes
Harpyopsis novaeguineae,Accipitridae,Accipitriformes
Helicolestes hamatus,Accipitridae,Accipitriformes
Henicopernis infuscatus,Accipitridae,Accipitriformes
Henicopernis longicauda,Accipitridae,Accipitriformes
Hieraaetus ayresii,Accipitridae,Accipitriformes
Hieraaetus morphnoides,Accipitridae,Accipitriformes
Hieraaetus pennatus,Accipitridae,Accipitriformes
Hieraaetus spilogaster,Accipitridae,Accipitriformes
Hieraaetus weiskei,Accipitridae,Accipitriformes
Ichthyophaga humilis,Accipitridae,Accipitriformes
Ichthyophaga ichthyaetus,Accipitridae,Accipitriformes
Ictinaetus malayensis,Accipitridae,Accipitriformes
Ictinia mississippiensis,Accipitridae,Accipitriformes
Ictinia plumbea,Accipitridae,Accipitriformes
Kaupifalco monogrammicus,Accipitridae,Accipitriformes
Leptodon cayanensis,Accipitridae,Accipitriformes
Leptodon forbesi,Accipitridae,Accipitriformes
Leucopternis albicollis,Accipitridae,Accipitriformes
Leucopternis kuhli,Accipitridae,Accipitriformes
Leucopternis lacernulatus,Accipitridae,Accipitriformes
Leucopternis melanops,Accipitridae,Accipitriformes
Leucopternis occidentalis,Accipitridae,Accipitriformes
Leucopternis plumbeus,Accipitridae,Accipitriformes
Leucopternis polionotus,Accipitridae,Accipitriformes
Leucopternis princeps,Accipitridae,Accipitriformes
Leucopternis schistaceus,Accipitridae,Accipitriformes
Leucopternis semiplumbeus,Accipitridae,Accipitriformes
Lophaetus occipitalis,Accipitridae,Accipitriformes
Lophoictinia isura,Accipitridae,Accipitriformes
Lophotriorchis kienerii,Accipitridae,Accipitriformes
Macheiramphus alcinus,Accipitridae,Accipitriformes
Megatriorchis doriae,Accipitridae,Accipitriformes
Melierax canorus,Accipitridae,Accipitriformes
Melierax gabar,Accipitridae,Accipitriformes
Melierax metabates,Accipitridae,Accipitriformes
Melierax poliopterus,Accipitridae,Accipitriformes
Milvus migrans,Accipitridae,Accipitriformes
Milvus milvus,Accipitridae,Accipitriformes
Morphnus guianensis,Accipitridae,Accipitriformes
Necrosyrtes monachus,Accipitridae,Accipitriformes
Neophron percnopterus,Accipitridae,Accipitriformes
Nisaetus alboniger,Accipitridae,Accipitriformes
Nisaetus bartelsi,Accipitridae,Accipitriformes
Nisaetus cirrhatus,Accipitridae,Accipitriformes
Nisaetus floris,Accipitridae,Accipitriformes
Nisaetus lanceolatus,Accipitridae,Accipitriformes
Nisaetus nanus,Accipitridae,Accipitriformes
Nisaetus nipalensis,Accipitridae,Accipitriformes
Nisaetus philippensis,Accipitridae,Accipitriformes
Pandion haliaetus,Accipitridae,Accipitriformes
Parabuteo unicinctus,Accipitridae,Accipitriformes
Pernis apivorus,Accipitridae,Accipitriformes
Pernis celebensis,Accipitridae,Accipitriformes
Pernis ptilorhyncus,Accipitridae,Accipitriformes
Pithecophaga jefferyi,Accipitridae,Accipitriformes
Polemaetus bellicosus,Accipitridae,Accipitriformes
Polyboroides radiatus,Accipitridae,Accipitriformes
Polyboroides typus,Accipitridae,Accipitriformes
Rostrhamus sociabilis,Accipitridae,Accipitriformes
Sagittarius serpentarius,Accipitridae,Accipitriformes
Sarcogyps calvus,Accipitridae,Accipitriformes
Spilornis cheela,Accipitridae,Accipitriformes
Spilornis elgini,Accipitridae,Accipitriformes
Spilornis holospilus,Accipitridae,Accipitriformes
Spilornis kinabaluensis,Accipitridae,Accipitriformes
Spilornis klossi,Accipitridae,Accipitriformes
Spilornis rufipectus,Accipitridae,Accipitriformes
Spizaetus isidori,Accipitridae,Accipitriformes
Spizaetus melanoleucus,Accipitridae,Accipitriformes
Spizaetus ornatus,Accipitridae,Accipitriformes
Spizaetus tyrannus,Accipitridae,Accipitriformes
Stephanoaetus coronatus,Accipitridae,Accipitriformes
Terathopius ecaudatus,Accipitridae,Accipitriformes
Torgos tracheliotos,Accipitridae,Accipitriformes
Trigonoceps occipitalis,Accipitridae,Accipitriformes
Urotriorchis macrourus,Accipitridae,Accipitriformes
Cathartes aura,Cathartidae,Accipitriformes
Cathartes burrovianus,Cathartidae,Accipitriformes
Cathartes melambrotus,Cathartidae,Accipitriformes
Coragyps atratus,Cathartidae,Accipitriformes
Gymnogyps californianus,Cathartidae,Accipitriformes
Sarcoramphus papa,Cathartidae,Accipitriformes
Vultur gryphus,Cathartidae,Accipitriformes
Aix galericulata,Anatidae,Anseriformes
Aix sponsa,Anatidae,Anseriformes
Alopochen aegyptiaca,Anatidae,Anseriformes
Amazonetta brasiliensis,Anatidae,Anseriformes
Anas acuta,Anatidae,Anseriformes
Anas americana,Anatidae,Anseriformes
Anas andium,Anatidae,Anseriformes
Anas aucklandica,Anatidae,Anseriformes
Anas bahamensis,Anatidae,Anseriformes
Anas bernieri,Anatidae,Anseriformes
Anas capensis,Anatidae,Anseriformes
Anas castanea,Anatidae,Anseriformes
Anas chlorotis,Anatidae,Anseriformes
Anas clypeata,Anatidae,Anseriformes
Anas crecca,Anatidae,Anseriformes
Anas cyanoptera,Anatidae,Anseriformes
Anas discors,Anatidae,Anseriformes
Anas eatoni,Anatidae,Anseriformes
Anas erythrorhyncha,Anatidae,Anseriformes
Anas falcata,Anatidae,Anseriformes
Anas flavirostris,Anatidae,Anseriformes
Anas formosa,Anatidae,Anseriformes
Anas fulvigula,Anatidae,Anseriformes
Anas georgica,Anatidae,Anseriformes
Anas gibberifrons,Anatidae,Anseriformes
Anas gracilis,Anatidae,Anseriformes
Anas hottentota,Anatidae,Anseriformes
Anas laysanensis,Anatidae,Anseriformes
Anas luzonica,Anatidae,Anseriformes
Anas melleri,Anatidae,Anseriformes
Anas nesiotis,Anatidae,Anseriformes
Anas penelope,Anatidae,Anseriformes
Anas platalea,Anatidae,Anseriformes
Anas platyrhynchos,Anatidae,Anseriformes
Anas poecilorhyncha,Anatidae,Anseriformes
Anas puna,Anatidae,Anseriformes
Anas querquedula,Anatidae,Anseriformes
Anas rhynchotis,Anatidae,Anseriformes
Anas rubripes,Anatidae,Anseriformes
Anas sibilatrix,Anatidae,Anseriformes
Anas smithii,Anatidae,Anseriformes
Anas sparsa,Anatidae,Anseriformes
Anas strepera,Anatidae,Anseriformes
Anas superciliosa,Anatidae,Anseriformes
Anas undulata,Anatidae,Anseriformes
Anas versicolor,Anatidae,Anseriformes
Anas wyvilliana,Anatidae,Anseriformes
Anser albifrons,Anatidae,Anseriformes
Anser anser,Anatidae,Anseriformes
Anser brachyrhynchus,Anatidae,Anseriformes
Anser cygnoides,Anatidae,Anseriformes
Anser erythropus,Anatidae,Anseriformes
Anser fabalis,Anatidae,Anseriformes
Anser indicus,Anatidae,Anseriformes
Aythya affinis,Anatidae,Anseriformes
Aythya americana,Anatidae,Anseriformes
Aythya australis,Anatidae,Anseriformes
Aythya baeri,Anatidae,Anseriformes
Aythya collaris,Anatidae,Anseriformes
Aythya ferina,Anatidae,Anseriformes
Aythya fuligula,Anatidae,Anseriformes
Aythya innotata,Anatidae,Anseriformes
Aythya marila,Anatidae,Anseriformes
Aythya novaeseelandiae,Anatidae,Anseriformes
Aythya nyroca,Anatidae,Anseriformes
Aythya valisineria,Anatidae,Anseriformes
Biziura lobata,Anatidae,Anseriformes
Branta bernicla,Anatidae,Anseriformes
Branta canadensis,Anatidae,Anseriformes
Branta hutchinsii,Anatidae,Anseriformes
Branta leucopsis,Anatidae,Anseriformes
Branta ruficollis,Anatidae,Anseriformes
Branta sandvicensis,Anatidae,Anseriformes
Bucephala albeola,Anatidae,Anseriformes
Bucephala clangula,Anatidae,Anseriformes
Bucephala islandica,Anatidae,Anseriformes
Cairina moschata,Anatidae,Anseriformes
Cairina scutulata,Anatidae,Anseriformes
Callonetta leucophrys,Anatidae,Anseriformes
Cereopsis novaehollandiae,Anatidae,Anseriformes
Chen caerulescens,Anatidae,Anseriformes
Chen canagica,Anatidae,Anseriformes
Chen rossii,Anatidae,Anseriformes
Chenonetta jubata,Anatidae,Anseriformes
Chloephaga hybrida,Anatidae,Anseriformes
Chloephaga melanoptera,Anatidae,Anseriformes
Chloephaga picta,Anatidae,Anseriformes
Chloephaga poliocephala,Anatidae,Anseriformes
Chloephaga rubidiceps,Anatidae,Anseriformes
Clangula hyemalis,Anatidae,Anseriformes
Coscoroba coscoroba,Anatidae,Anseriformes
Cyanochen cyanoptera,Anatidae,Anseriformes
Cygnus atratus,Anatidae,Anseriformes
Cygnus buccinator,Anatidae,Anseriformes
Cygnus columbianus,Anatidae,Anseriformes
Cygnus cygnus,Anatidae,Anseriformes
Cygnus melancoryphus,Anatidae,Anseriformes
Cygnus olor,Anatidae,Anseriformes
Dendrocygna arborea,Anatidae,Anseriformes
Dendrocygna arcuata,Anatidae,Anseriformes
Dendrocygna autumnalis,Anatidae,Anseriformes
Dendrocygna bicolor,Anatidae,Anseriformes
Dendrocygna eytoni,Anatidae,Anseriformes
Dendrocygna guttata,Anatidae,Anseriformes
Dendrocygna javanica,Anatidae,Anseriformes
Dendrocygna viduata,Anatidae,Anseriformes
Heteronetta atricapilla,Anatidae,Anseriformes
Histrionicus histrionicus,Anatidae,Anseriformes
Hymenolaimus malacorhynchos,Anatidae,Anseriformes
Lophodytes cucullatus,Anatidae,Anseriformes
Lophonetta specularioides,Anatidae,Anseriformes
Malacorhynchus membranaceus,Anatidae,Anseriformes
Marmaronetta angustirostris,Anatidae,Anseriformes
Melanitta fusca,Anatidae,Anseriformes
Melanitta nigra,Anatidae,Anseriformes
Melanitta perspicillata,Anatidae,Anseriformes
Merganetta armata,Anatidae,Anseriformes
Mergellus albellus,Anatidae,Anseriformes
Mergus merganser,Anatidae,Anseriformes
Mergus octosetaceus,Anatidae,Anseriformes
Mergus serrator,Anatidae,Anseriformes
Mergus squamatus,Anatidae,Anseriformes
Neochen jubata,Anatidae,Anseriformes
Netta erythrophthalma,Anatidae,Anseriformes
Netta peposaca,Anatidae,Anseriformes
Netta rufina,Anatidae,Anseriformes
Nettapus auritus,Anatidae,Anseriformes
Nettapus coromandelianus,Anatidae,Anseriformes
Nettapus pulchellus,Anatidae,Anseriformes
Nomonyx dominicus,Anatidae,Anseriformes
Oxyura australis,Anatidae,Anseriformes
Oxyura jamaicensis,Anatidae,Anseriformes
Oxyura leucocephala,Anatidae,Anseriformes
Oxyura maccoa,Anatidae,Anseriformes
Oxyura vittata,Anatidae,Anseriformes
Plectropterus gambensis,Anatidae,Anseriformes
Polysticta stelleri,Anatidae,Anseriformes
Pteronetta hartlaubii,Anatidae,Anseriformes
Salvadorina waigiuensis,Anatidae,Anseriformes
Sarkidiornis melanotos,Anatidae,Anseriformes
Somateria fischeri,Anatidae,Anseriformes
Somateria mollissima,Anatidae,Anseriformes
Somateria spectabilis,Anatidae,Anseriformes
Speculanas specularis,Anatidae,Anseriformes
Stictonetta naevosa,Anatidae,Anseriformes
Tachyeres brachypterus,Anatidae,Anseriformes
Tachyeres leucocephalus,Anatidae,Anseriformes
Tachyeres patachonicus,Anatidae,Anseriformes
Tachyeres pteneres,Anatidae,Anseriformes
Tadorna cana,Anatidae,Anseriformes
Tadorna ferruginea,Anatidae,Anseriformes
Tadorna radjah,Anatidae,Anseriformes
Tadorna tadorna,Anatidae,Anseriformes
Tadorna tadornoides,Anatidae,Anseriformes
Tadorna variegata,Anatidae,Anseriformes
Thalassornis leuconotus,Anatidae,Anseriformes
Anhima cornuta,Anhimidae,Anseriformes
Chauna chavaria,Anhimidae,Anseriformes
Chauna torquata,Anhimidae,Anseriformes
Anseranas semipalmata,Anseranatidae,Anseriformes
Aegotheles albertisi,Aegothelidae,Apodiformes
Aegotheles archboldi,Aegothelidae,Apodiformes
Aegotheles bennettii,Aegothelidae,Apodiformes
Aegotheles crinifrons,Aegothelidae,Apodiformes
Aegotheles cristatus,Aegothelidae,Apodiformes
Aegotheles insignis,Aegothelidae,Apodiformes
Aegotheles savesi,Aegothelidae,Apodiformes
Aegotheles tatei,Aegothelidae,Apodiformes
Aegotheles wallacii,Aegothelidae,Apodiformes
Aeronautes andecolus,Apodidae,Apodiformes
Aeronautes montivagus,Apodidae,Apodiformes
Aeronautes saxatalis,Apodidae,Apodiformes
Apus acuticauda,Apodidae,Apodiformes
Apus affinis,Apodidae,Apodiformes
Apus alexandri,Apodidae,Apodiformes
Apus apus,Apodidae,Apodiformes
Apus balstoni,Apodidae,Apodiformes
Apus barbatus,Apodidae,Apodiformes
Apus batesi,Apodidae,Apodiformes
Apus berliozi,Apodidae,Apodiformes
Apus bradfieldi,Apodidae,Apodiformes
Apus caffer,Apodidae,Apodiformes
Apus horus,Apodidae,Apodiformes
Apus niansae,Apodidae,Apodiformes
Apus nipalensis,Apodidae,Apodiformes
Apus pacificus,Apodidae,Apodiformes
Apus pallidus,Apodidae,Apodiformes
Apus sladeniae,Apodidae,Apodiformes
Apus toulsoni,Apodidae,Apodiformes
Apus unicolor,Apodidae,Apodiformes
Chaetura brachyura,Apodidae,Apodiformes
Chaetura chapmani,Apodidae,Apodiformes
Chaetura cinereiventris,Apodidae,Apodiformes
Chaetura egregia,Apodidae,Apodiformes
Chaetura fumosa,Apodidae,Apodiformes
Chaetura martinica,Apodidae,Apodiformes
Chaetura meridionalis,Apodidae,Apodiformes
Chaetura pelagica,Apodidae,Apodiformes
Chaetura spinicaudus,Apodidae,Apodiformes
Chaetura vauxi,Apodidae,Apodiformes
Chaetura viridipennis,Apodidae,Apodiformes
Collocalia amelis,Apodidae,Apodiformes
Collocalia bartschi,Apodidae,Apodiformes
Collocalia brevirostris,Apodidae,Apodiformes
Collocalia elaphra,Apodidae,Apodiformes
Collocalia esculenta,Apodidae,Apodiformes
Collocalia francica,Apodidae,Apodiformes
Collocalia fuciphaga,Apodidae,Apodiformes
Collocalia germani,Apodidae,Apodiformes
Collocalia hirundinacea,Apodidae,Apodiformes
Collocalia infuscata,Apodidae,Apodiformes
Collocalia inquieta,Apodidae,Apodiformes
Collocalia leucophaea,Apodidae,Apodiformes
Collocalia linchi,Apodidae,Apodiformes
Collocalia maxima,Apodidae,Apodiformes
Collocalia mearnsi,Apodidae,Apodiformes
Collocalia nuditarsus,Apodidae,Apodiformes
Collocalia ocista,Apodidae,Apodiformes
Collocalia orientalis,Apodidae,Apodiformes
Collocalia palawanensis,Apodidae,Apodiformes
Collocalia papuensis,Apodidae,Apodiformes
Collocalia pelewensis,Apodidae,Apodiformes
Collocalia rogersi,Apodidae,Apodiformes
Collocalia salangana,Apodidae,Apodiformes
Collocalia sawtelli,Apodidae,Apodiformes
Collocalia spodiopygia,Apodidae,Apodiformes
Collocalia terraereginae,Apodidae,Apodiformes
Collocalia troglodytes,Apodidae,Apodiformes
Collocalia unicolor,Apodidae,Apodiformes
Collocalia vanikorensis,Apodidae,Apodiformes
Collocalia vulcanorum,Apodidae,Apodiformes
Collocalia whiteheadi,Apodidae,Apodiformes
Cypseloides cherriei,Apodidae,Apodiformes
Cypseloides cryptus,Apodidae,Apodiformes
Cypseloides fumigatus,Apodidae,Apodiformes
Cypseloides lemosi,Apodidae,Apodiformes
Cypseloides niger,Apodidae,Apodiformes
Cypseloides rothschildi,Apodidae,Apodiformes
Cypseloides senex,Apodidae,Apodiformes
Cypseloides storeri,Apodidae,Apodiformes
Cypsiurus balasiensis,Apodidae,Apodiformes
Cypsiurus parvus,Apodidae,Apodiformes
Hirundapus caudacutus,Apodidae,Apodiformes
Hirundapus celebensis,Apodidae,Apodiformes
Hirundapus cochinchinensis,Apodidae,Apodiformes
Hirundapus giganteus,Apodidae,Apodiformes
Hydrochous gigas,Apodidae,Apodiformes
Mearnsia novaeguineae,Apodidae,Apodiformes
Mearnsia picina,Apodidae,Apodiformes
Neafrapus boehmi,Apodidae,Apodiformes
Neafrapus cassini,Apodidae,Apodiformes
Panyptila cayennensis,Apodidae,Apodiformes
Panyptila sanctihieronymi,Apodidae,Apodiformes
Rhaphidura leucopygialis,Apodidae,Apodiformes
Rhaphidura sabini,Apodidae,Apodiformes
Schoutedenapus myoptilus,Apodidae,Apodiformes
Schoutedenapus schoutedeni,Apodidae,Apodiformes
Streptoprocne biscutata,Apodidae,Apodiformes
Streptoprocne phelpsi,Apodidae,Apodiformes
Streptoprocne rutila,Apodidae,Apodiformes
Streptoprocne semicollaris,Apodidae,Apodiformes
Streptoprocne zonaris,Apodidae,Apodiformes
Tachornis furcata,Apodidae,Apodiformes
Tachornis phoenicobia,Apodidae,Apodiformes
Tachornis squamata,Apodidae,Apodiformes
Tachymarptis aequatorialis,Apodidae,Apodiformes
Tachymarptis melba,Apodidae,Apodiformes
Telacanthura melanopygia,Apodidae,Apodiformes
Telacanthura ussheri,Apodidae,Apodiformes
Zoonavena grandidieri,Apodidae,Apodiformes
Zoonavena sylvatica,Apodidae,Apodiformes
Zoonavena thomensis,Apodidae,Apodiformes
Hemiprocne comata,Hemiprocnidae,Apodiformes
Hemiprocne coronata,Hemiprocnidae,Apodiformes
Hemiprocne longipennis,Hemiprocnidae,Apodiformes
Hemiprocne mystacea,Hemiprocnidae,Apodiformes
Abeillia abeillei,Trochilidae,Apodiformes
Adelomyia melanogenys,Trochilidae,Apodiformes
Aglaeactis aliciae,Trochilidae,Apodiformes
Aglaeactis castelnaudii,Trochilidae,Apodiformes
Aglaeactis cupripennis,Trochilidae,Apodiformes
Aglaeactis pamela,Trochilidae,Apodiformes
Aglaiocercus berlepschi,Trochilidae,Apodiformes
Aglaiocercus coelestis,Trochilidae,Apodiformes
Aglaiocercus kingi,Trochilidae,Apodiformes
Amazilia amabilis,Trochilidae,Apodiformes
Amazilia amazilia,Trochilidae,Apodiformes
Amazilia beryllina,Trochilidae,Apodiformes
Amazilia boucardi,Trochilidae,Apodiformes
Amazilia brevirostris,Trochilidae,Apodiformes
Amazilia candida,Trochilidae,Apodiformes
Amazilia castaneiventris,Trochilidae,Apodiformes
Amazilia chionogaster,Trochilidae,Apodiformes
Amazilia cyanifrons,Trochilidae,Apodiformes
Amazilia cyanocephala,Trochilidae,Apodiformes
Amazilia cyanura,Trochilidae,Apodiformes
Amazilia decora,Trochilidae,Apodiformes
Amazilia edward,Trochilidae,Apodiformes
Amazilia fimbriata,Trochilidae,Apodiformes
Amazilia franciae,Trochilidae,Apodiformes
Amazilia lactea,Trochilidae,Apodiformes
Amazilia leucogaster,Trochilidae,Apodiformes
Amazilia luciae,Trochilidae,Apodiformes
Amazilia rosenbergi,Trochilidae,Apodiformes
Amazilia rutila,Trochilidae,Apodiformes
Amazilia saucerrottei,Trochilidae,Apodiformes
Amazilia tobaci,Trochilidae,Apodiformes
Amazilia tzacatl,Trochilidae,Apodiformes
Amazilia versicolor,Trochilidae,Apodiformes
Amazilia violiceps,Trochilidae,Apodiformes
Amazilia viridicauda,Trochilidae,Apodiformes
Amazilia viridifrons,Trochilidae,Apodiformes
Amazilia viridigaster,Trochilidae,Apodiformes
Amazilia yucatanensis,Trochilidae,Apodiformes
Androdon aequatorialis,Trochilidae,Apodiformes
Anopetia gounellei,Trochilidae,Apodiformes
Anthocephala floriceps,Trochilidae,Apodiformes
Anthracothorax dominicus,Trochilidae,Apodiformes
Anthracothorax mango,Trochilidae,Apodiformes
Anthracothorax nigricollis,Trochilidae,Apodiformes
Anthracothorax prevostii,Trochilidae,Apodiformes
Anthracothorax veraguensis,Trochilidae,Apodiformes
Anthracothorax viridigula,Trochilidae,Apodiformes
